Article_ID,Sentence
1,"Investors have been inundated with headlines about the COVID-19 coronavirus, leading some to react as if the sky were falling."
1,"The Dow Jones Industrial Average, the S&P 500, and the NASDAQ Composite all officially entered correction territory last week, each down more than 10% from recent highs, as concerns about the spread of the disease continue to dominate the world stage."
1,"Famed investor Warren Buffett has counseled investors to ""Be fearful when others are greedy."
1,"Be greedy when others are fearful."" With that in mind, let's look at one stock that is still a worthwhile investment and has plenty going for it, even as fear grips the market and the Wall Street slump continues -- technology giant Apple (NASDAQ: AAPL)."
1,Image source: Apple.
1,1.
1,"Reports of iPhone's death have been greatly exaggerated
There's little doubt that smartphone sales are slowing, which will put a dent in the iPhone's future growth prospects."
1,"Worldwide smartphone shipments fell by more than 4% in 2018, but appeared to turn the corner in 2019, producing annual growth of 1% according to market intelligence company Canalys."
1,"At the same time, Apple chipped away at its rivals, with its market share growing to 21.3% in the 2019 fourth quarter, up from 19.7% in the prior-year quarter, according to the report."
1,"That was also reflected in Apple's quarterly earnings, as the company reported its highest quarterly revenue ever."
1,"Sales of the iPhone grew 7.6% year over year to $56 billion, on strong demand for the iPhone 11 and iPhone 11 Pro, showing the reports of its demise are clearly overstated."
1,2.
1,"""Wear"" is the growth coming from?"
1,"Even as sales of the iconic iPhone have slowed, other devices are rushing to take up the slack."
1,"Apple's wearables, home, and accessories segment has become an important growth driver, growing 37% year over year, and topping $10 billion, accounting for nearly 11% of the company's total revenue."
1,"The wearables sub-segment grew even faster, up 44%, setting an all-time record for the quarter."
1,"One standout performer was the Apple Watch, which also set an all-time revenue record during the quarter."
1,"Even more startling, the Apple Watch sold an estimated 31 million units last year, outselling every Swiss watch maker -- combined."
1,It's not just the Apple Watch that's making waves.
1,"Apple's AirPods have been a perennial favorite and the latest edition -- AirPods Pro -- captured the imagination of even more fans, featuring active noise cancellation."
1,"Both versions became ""must-haves"" and were at the top of consumers' wish lists over the holidays."
1,Image source: Apple.
1,3.
1,"Services
Apple CEO Tim Cook had famously predicted the company would double its 2016 services revenue by the end of 2020, a goal the company will likely achieve ahead of schedule."
1,CFO Luci Maestri pointed out on the Q1 conference call that the company had already reached the benchmark on a run-rate basis.
1,"Services revenue topped $12.7 billion during the quarter, an all-time record, increasing 17% year over year, and accounting for nearly 14% of Apple's total revenue."
1,"Many of the company's individual services also achieved records, including cloud services, music, payment services, App Store, and Apple Care."
1,That may be just the beginning.
1,"Late last year, Apple introduced a number of new high-profile services, including Apple Card, Apple News+, Apple Arcade, and Apple TV+, which are just getting started."
1,"With an installed base of more than 1.5 billion active devices in the field, there's a massive captive audience for Apple's services, which will continue to grow from here."
1,4.
1,"Shareholder-friendly practices
Apple resumed paying a dividend in early 2012 after a nearly 17-year hiatus, but since then the company has become a dividend-paying dynamo."
1,"Apple raised its dividend every year since, more than doubling the payout in just seven short years."
1,"The dividend currently yields 1.13%, and while that may not turn heads, it's important to remember that this was affected by the stock's massive 86% gain last year, making the dividend appear somewhat paltry."
1,The company has also been buying back shares by the boatload.
1,"Since it began its stock buyback in early 2012, Apple has retired nearly 30% of its shares."
1,"There could be more to come, as Apple has historically updated investors about its capital return policy in conjunction with its quarterly earnings report in April."
1,"Given that the company has hiked its dividend in each of the past seven years, it isn't a stretch to expect another increase next month."
1,"AAPL Dividend data by YCharts
5."
1,"A moderate valuation
For all its future growth prospects, it would be reasonable to assume Apple stock would fetch a premium valuation, but that's simply not the case."
1,"After its impressive gains in 2019, Apple stock isn't the screaming buy it was this time last year, but it still boasts a moderate valuation, with a price-to-earnings ratio of 23, similar to that of the S&P 500."
1,"This gives investors the opportunity to buy into one of the world's foremost technology stocks, which is well-positioned to generate market-beating gains, at a relative bargain."
1,6.
1,"Buffett owns a massive stake
Berkshire Hathaway (NYSE: BRK.A) (NYSE: BRK.B) CEO Warren Buffett began accumulating Apple shares in early 2016, a position started by either Todd Combs or Ted Weschler, his most trusted investment managers."
1,"The purchase piqued Buffett's interest, and after researching the investment himself, the famed investor bought a massive stake, spending an estimated $36 billion on Apple shares."
1,"Even though the company has since reduced its holdings in Apple, its remaining stake still amounts to 245.2 million shares, worth more than $71 billion at current prices, and accounts for about 14% of Berkshire's market cap."
1,"Buffett has cited Apple's leadership, its customer loyalty, and the stickiness of its ecosystem as reasons for his size of his stake."
1,"He went even further, saying, ""I'd love to own 100% of it."" That's high praise, coming from one of the world's most esteemed investors."
1,"A word of caution
It's important to note that with the ongoing outbreak of coronavirus, Apple shares initially took a beating, before regaining some of their losses."
1,With the bulk of its manufacturing and its second-largest consumer market in China -- the country currently hardest hit by the health crisis -- there will no doubt be a short-term disruption to Apple's business and its stock price will continue to be volatile until the outbreak has run its course.
1,"That said, with all the things working in its favor, investors should ignore the headlines and buy Apple stock."
1,"10 stocks we like better than Apple
When investing geniuses David and Tom Gardner have a stock tip, it can pay to listen."
1,"After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor, has tripled the market.*
David and Tom just revealed what they believe are the ten best stocks for investors to buy right now..."
1,and Apple wasn't one of them!
1,That's right -- they think these 10 stocks are even better buys.
1,"See the 10 stocks
  *Stock Advisor returns as of December 1, 2019
 Danny Vena owns shares of Apple."
1,"The Motley Fool owns shares of and recommends Apple and Berkshire Hathaway (B shares) and recommends the following options: long January 2021 $200 calls on Berkshire Hathaway (B shares), short January 2021 $200 puts on Berkshire Hathaway (B shares), and short March 2020 $225 calls on Berkshire Hathaway (B shares)."
1,The Motley Fool has a disclosure policy.
1,"The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc."
2,"Regardless of how long you've been investing, the pace of change on Wall Street is something to marvel at."
2,"In 2021, the ageless Dow Jones Industrial Average (DJINDICES: ^DJI), benchmark S&P 500 (SNPINDEX: ^GSPC), and growth-focused Nasdaq Composite (NASDAQINDEX: ^IXIC) were regularly notching off new all-time closing highs."
2,"Just one year later, in 2022, all three indexes were mired in a bear market and delivering their worst full-year returns since the global financial crisis."
2,"This year, the script has flipped, once more."
2,"Though the Dow, which outperformed the two other major stock indexes in 2022, is effectively flat on a year-to-date basis, through May 29, the S&P 500 and Nasdaq Composite have surged 9.5% and 24%, respectively."
2,"It would seem the bulls are, once again, running wild -- but looks can be deceiving."
2,Image source: Getty Images.
2,"Breadth for Wall Street's benchmark stock index is potentially worrisome
For months, I've looked at a broad assortment of stock market indicators, financial metrics, and valuation tools to offer insight as to where stocks may head next."
2,"Even though there's no such thing as a foolproof indicator, history has a way of repeating itself on Wall Street, and these indicators and metrics have the potential to give investors who follow them a leg up."
2,"With the S&P 500 hitting a nine-month high this past week, it would appear the worst of the 2022 bear market is over."
2,"However, a closer look at the breadth within the S&P 500 reveals a different story."
2,"During a true bull market, we typically see a wide assortment of stocks take part in the upside."
2,"This means large-cap, mid-cap, and small-cap stocks from most sectors and industries are going to be rallying."
2,"But as you can see in the tweet below from Michael Kantro, the Chief Marketing Strategist at Piper Sandler, the S&P 500 seems to have a clear breadth problem."
2,"Lowest number of S&P 500 stocks beating the ""market"" $SPY since March 2000."
2,"pic.twitter.com/QXpwnPzQ1j
-- Kantro (@MichaelKantro) May 25, 2023
Based on recent data, approximately 20% of the S&P 500's components are beating the index on a trailing-three-month basis."
2,The last time such a small percentage of S&P 500 stocks were outperforming the broad-based index was March 2000.
2,"Not coincidentally, the S&P 500's closing high prior to the dot-com bubble bursting was set on March 24, 2000."
2,"Since the S&P 500 is a market-cap-weighted index, bigger businesses are going to have more influence."
2,"The nine largest components of the S&P 500 (including companies with multiple stock classes) are:
Apple (NASDAQ: AAPL): 7.39% weighting
Microsoft (NASDAQ: MSFT): 6.97% weighting
Amazon (NASDAQ: AMZN): 2.95% weighting
Nvidia (NASDAQ: NVDA): 2.68% weighting
Alphabet Class A shares (NASDAQ: GOOGL): 2.11% weighting
Alphabet Class C shares (NASDAQ: GOOG): 1.86% weighting
Berkshire Hathaway Class B shares (NYSE: BRK.B): 1.65% weighting
Meta Platforms (NASDAQ: META): 1.62% weighting
Tesla (NASDAQ: TSLA): 1.43% weighting
Collectively, 28.66% of the point movements in the S&P 500 are being determined by just eight brand-name businesses."
2,"Keeping in mind that the S&P 500 is up by 9.5% year to date, here's how the index's largest components have fared since the start of 2023:
AAPL data by YCharts."
2,"With the exception of Berkshire Hathaway's Class B shares, the other growth-focused companies listed above have been off to the races since 2023 began."
2,"Nvidia has been powered by artificial intelligence (AI) euphoria and is up 167%, while investors have flocked to the social media dominance offered by Meta, whose stock has also more than doubled."
2,"Tesla, Amazon, Alphabet's two classes of shares, Microsoft, and Apple aren't slouches, either, and have handily outperformed the benchmark index."
2,"While having a small number of stocks lead the market higher isn't, in itself, a telltale sign of bad things to come for Wall Street, history suggests it's generally not good news when a small group of stocks is leading while the majority of publicly traded companies are lagging."
2,It paints a picture of strength that masks broad-based market weakness.
2,"Market breadth is meaningless if you use time as an ally
Although the S&P 500 displaying an ominous breadth warning not seen in 23 years may represent a coming top in the broad-based index, this isn't something to worry about if you're an investor with a long-term mindset."
2,"To be fair, the dot-com bubble top in 2000 and bear market that followed weren't pleasant."
2,"The S&P 500 shed nearly half of its value over more than two years, and the Nasdaq Composite was hit even harder."
2,"But like every other stock market crash, correction, and bear market that came before it, index-based declines tied to the dot-com bubble were eventually put behind us."
2,"In fact, with the exception of the current bear market, every single double-digit percentage decline in the Dow Jones Industrial Average, S&P 500, and Nasdaq Composite has eventually been wiped away by a bull market."
2,Image source: Getty Images.
2,"To add to the above, no indicator has been a greater ally to investors over the past century than time."
2,"Market analytics company Crestmont Research examined the effects of time on investors by tabulating the total returns, including dividends, an investor would have netted if they'd purchased an S&P 500 tracking index and held that position for 20 years."
2,"Crestmont backdated its analysis to 1900, which gave it 104 years of rolling 20-year return data (1919 through 2022) to sift through."
2,Here's the kicker: All 104 rolling 20-year periods produced a positive total return.
2,"In other words, it literally didn't matter when you bought into an S&P 500 tracking index since 1900."
2,"As long as you held that position for 20 years, you generated a positive total return."
2,But that's not all.
2,"Whereas a small number of ending years led to an annualized total return of between 3% and 5%, more than half of these 104 ending years led to an annualized return over 20 years of between 9% and 17.1%."
2,"These are the sort of returns that can build serious wealth and trump other asset classes, such as bonds, housing, and commodities."
2,Timing the market in the short term can be a crapshoot.
2,But time in the market over the long run is a proven wealth-building strategy.
2,"Even if poor S&P 500 market breadth serves as a warning of a possible near-term top in the major indexes, it's nothing that should concern investors who are using time as their ally."
2,"10 stocks we like better than Walmart
When our analyst team has an investing tip, it can pay to listen."
2,"After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor, has tripled the market.*
They just revealed what they believe are the ten best stocks for investors to buy right now..."
2,and Walmart wasn't one of them!
2,That's right -- they think these 10 stocks are even better buys.
2,"See the 10 stocks
Stock Advisor returns as of May 15, 2023
Suzanne Frey, an executive at Alphabet, is a member of The Motley Fool's board of directors."
2,"John Mackey, former CEO of Whole Foods Market, an Amazon subsidiary, is a member of The Motley Fool's board of directors."
2,"Randi Zuckerberg, a former director of market development and spokeswoman for Facebook and sister to Meta Platforms CEO Mark Zuckerberg, is a member of The Motley Fool's board of directors."
2,"Sean Williams has positions in Alphabet, Amazon.com, and Meta Platforms."
2,"The Motley Fool has positions in and recommends Alphabet, Amazon.com, Apple, Berkshire Hathaway, Meta Platforms, Microsoft, Nvidia, and Tesla."
2,The Motley Fool has a disclosure policy.
2,"The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc."
3,Cathie Wood went from the hottest investing guru around to cold fish in just a year.
3,"Her Ark Invest exchange-traded funds (ETFs) doubled investors' money in 2020, but subsequently collapsed when the tech stock bull market came to a screeching halt."
3,"However, Wood's Ark Innovation ETF is running strong again in 2023, up over 23% since the start of the year compared to a 1.5% decline in Berkshire Hathaway (NYSE: BRK.A)(NYSE: BRK.B)."
3,"Warren Buffett, of course, has an enviable 60-year track record under his belt and has generated returns of 3,600,000% in that time frame (yes, you read that right -- 3.6 million percent returns)."
3,Image source: The Motley Fool.
3,"The investing styles of Wood and Buffett could hardly be more different, though."
3,"Whereas the Oracle of Omaha generally sticks to a buy-and-hold philosophy, Wood trades much more frenetically as she's not opposed to jumping into and out of positions frequently, sometimes on a daily basis."
3,"For all her trading and the collapse of the tech sector, Wood is still a sharp Wall Street guru who has 10-year annual returns of over 85%, indicating how well she did during the former bull market."
3,"Do you prefer Buffett's more laid-back, big-bet style on solid businesses or Wood's in-and-out pace trying to capture a stock's trend?"
3,Let's take a look at the stock each of the investing gurus has made their biggest bet on.
3,"Apple
For an investor who famously swore off tech stocks because he didn't understand them, Buffett has tightly embraced Apple's (NASDAQ: AAPL) stock, making it his biggest holding by far."
3,"The consumer gadget maker comprises 41% of Berkshire Hathaway's portfolio, some $136 billion in total."
3,"No doubt Buffett likes the fact that this iconic brand commands the loyalty of tens of millions of consumers willing to pay a premium for its products, as well as being an innovative tech stock."
